Technique_ID,Technique_Name,Tactic_ID,Tactic_Name,Parent_Technique_ID,URL
T1595,Active Scanning,TA0043,Reconnaissance,<none>,https://attack.mitre.org/techniques/T1595/
T1595.001,Active Scanning:  Scanning IP Blocks,TA0043,Reconnaissance,T1595,https://attack.mitre.org/techniques/T1595/001/
T1595.002,Active Scanning:  Vulnerability Scanning,TA0043,Reconnaissance,T1595,https://attack.mitre.org/techniques/T1595/002/
T1595.003,Active Scanning:  Wordlist Scanning,TA0043,Reconnaissance,T1595,https://attack.mitre.org/techniques/T1595/003/
T1592,Gather Victim Host Information,TA0043,Reconnaissance,<none>,https://attack.mitre.org/techniques/T1592/
T1592.001,Gather Victim Host Information:  Hardware,TA0043,Reconnaissance,T1592,https://attack.mitre.org/techniques/T1592/001/
T1592.002,Gather Victim Host Information:  Software,TA0043,Reconnaissance,T1592,https://attack.mitre.org/techniques/T1592/002/
T1592.003,Gather Victim Host Information:  Firmware,TA0043,Reconnaissance,T1592,https://attack.mitre.org/techniques/T1592/003/
T1592.004,Gather Victim Host Information:  Client Configurations,TA0043,Reconnaissance,T1592,https://attack.mitre.org/techniques/T1592/004/
T1589,Gather Victim Identity Information,TA0043,Reconnaissance,<none>,https://attack.mitre.org/techniques/T1589/
T1589.001,Gather Victim Identity Information:  Credentials,TA0043,Reconnaissance,T1589,https://attack.mitre.org/techniques/T1589/001/
T1589.002,Gather Victim Identity Information:  Email Addresses,TA0043,Reconnaissance,T1589,https://attack.mitre.org/techniques/T1589/002/
T1589.003,Gather Victim Identity Information:  Employee Names,TA0043,Reconnaissance,T1589,https://attack.mitre.org/techniques/T1589/003/
T1590,Gather Victim Network Information,TA0043,Reconnaissance,<none>,https://attack.mitre.org/techniques/T1590/
T1590.001,Gather Victim Network Information:  Domain Properties,TA0043,Reconnaissance,T1590,https://attack.mitre.org/techniques/T1590/001/
T1590.002,Gather Victim Network Information:  DNS,TA0043,Reconnaissance,T1590,https://attack.mitre.org/techniques/T1590/002/
T1590.003,Gather Victim Network Information:  Network Trust Dependencies,TA0043,Reconnaissance,T1590,https://attack.mitre.org/techniques/T1590/003/
T1590.004,Gather Victim Network Information:  Network Topology,TA0043,Reconnaissance,T1590,https://attack.mitre.org/techniques/T1590/004/
T1590.005,Gather Victim Network Information:  IP Addresses,TA0043,Reconnaissance,T1590,https://attack.mitre.org/techniques/T1590/005/
T1590.006,Gather Victim Network Information:  Network Security Appliances,TA0043,Reconnaissance,T1590,https://attack.mitre.org/techniques/T1590/006/
T1591,Gather Victim Org Information,TA0043,Reconnaissance,<none>,https://attack.mitre.org/techniques/T1591/
T1591.001,Gather Victim Org Information:  Determine Physical Locations,TA0043,Reconnaissance,T1591,https://attack.mitre.org/techniques/T1591/001/
T1591.002,Gather Victim Org Information:  Business Relationships,TA0043,Reconnaissance,T1591,https://attack.mitre.org/techniques/T1591/002/
T1591.003,Gather Victim Org Information:  Identify Business Tempo,TA0043,Reconnaissance,T1591,https://attack.mitre.org/techniques/T1591/003/
T1591.004,Gather Victim Org Information:  Identify Roles,TA0043,Reconnaissance,T1591,https://attack.mitre.org/techniques/T1591/004/
T1598,Phishing for Information,TA0043,Reconnaissance,<none>,https://attack.mitre.org/techniques/T1598/
T1598.001,Phishing for Information:  Spearphishing Service,TA0043,Reconnaissance,T1598,https://attack.mitre.org/techniques/T1598/001/
T1598.002,Phishing for Information:  Spearphishing Attachment,TA0043,Reconnaissance,T1598,https://attack.mitre.org/techniques/T1598/002/
T1598.003,Phishing for Information:  Spearphishing Link,TA0043,Reconnaissance,T1598,https://attack.mitre.org/techniques/T1598/003/
T1598.004,Phishing for Information:  Spearphishing Voice,TA0043,Reconnaissance,T1598,https://attack.mitre.org/techniques/T1598/004/
T1597,Search Closed Sources,TA0043,Reconnaissance,<none>,https://attack.mitre.org/techniques/T1597/
T1597.001,Search Closed Sources:  Threat Intel Vendors,TA0043,Reconnaissance,T1597,https://attack.mitre.org/techniques/T1597/001/
T1597.002,Search Closed Sources:  Purchase Technical Data,TA0043,Reconnaissance,T1597,https://attack.mitre.org/techniques/T1597/002/
T1596,Search Open Technical Databases,TA0043,Reconnaissance,<none>,https://attack.mitre.org/techniques/T1596/
T1596.001,Search Open Technical Databases:  DNS/Passive DNS,TA0043,Reconnaissance,T1596,https://attack.mitre.org/techniques/T1596/001/
T1596.002,Search Open Technical Databases:  WHOIS,TA0043,Reconnaissance,T1596,https://attack.mitre.org/techniques/T1596/002/
T1596.003,Search Open Technical Databases:  Digital Certificates,TA0043,Reconnaissance,T1596,https://attack.mitre.org/techniques/T1596/003/
T1596.004,Search Open Technical Databases:  CDNs,TA0043,Reconnaissance,T1596,https://attack.mitre.org/techniques/T1596/004/
T1596.005,Search Open Technical Databases:  Scan Databases,TA0043,Reconnaissance,T1596,https://attack.mitre.org/techniques/T1596/005/
T1593,Search Open Websites/Domains,TA0043,Reconnaissance,<none>,https://attack.mitre.org/techniques/T1593/
T1593.001,Search Open Websites/Domains:  Social Media,TA0043,Reconnaissance,T1593,https://attack.mitre.org/techniques/T1593/001/
